i,j,k,month,flow_jk,ehat_jk,excess_jk,w_ij,eop_lite,year
AR,US,BR,2021-01-01,2355.0,1715.998216358535,0.37237904885325007,0.005474240611555521,0.002038492512124879,2021
AR,US,BR,2021-02-01,2019.0,2186.2851257580664,-0.07651569495084154,0.005525635331400625,-0.0004227978274270424,2021
AR,US,BR,2021-03-01,1823.0,2513.4707947102315,-0.27470810329818585,0.005894863377872301,-0.0016193667377372369,2021
AR,US,BR,2021-04-01,1025.0,1268.5942274350425,-0.19201902560093084,0.006001702295240243,-0.0011524410266789016,2021
AR,US,BR,2021-05-01,1049.0,1528.3055876925105,-0.31361894607490304,0.00608061366183668,-0.0019069956481138767,2021
AR,US,BR,2021-06-01,1189.0,1349.1524618941621,-0.11870597758040907,0.006186463762443952,-0.000734370228686685,2021
AR,US,BR,2021-07-01,1416.0,1577.979512604561,-0.10264994653650666,0.006201866557904081,-0.0006366212705954025,2021
AR,US,BR,2021-08-01,1108.0,1462.9737675680394,-0.24263850482987587,0.006141404118595542,-0.001490141112892064,2021
AR,US,BR,2021-09-01,1864.0,2023.470647799038,-0.07881045765229995,0.006184575832403832,-0.0004874092517370999,2021
AR,US,BR,2021-10-01,1459.0,2122.5376298525966,-0.312615249086857,0.006263203101423033,-0.001957972797632937,2021
AR,US,BR,2021-11-01,1055.0,1912.7733603570305,-0.4484448487911406,0.006332708209391484,-0.002839870375398979,2021
AR,US,BR,2021-12-01,1028.0,1709.3819114884082,-0.39861303486890726,0.006287330664133782,-0.002506211957254709,2021
AR,US,BR,2022-01-01,1422.0,2313.728820268768,-0.385407664224532,0.006115649097917428,-0.002357018034045222,2022
AR,US,BR,2022-02-01,1421.0,3051.047323771135,-0.5342582892999427,0.006033573095056003,-0.003223486440130781,2022
AR,US,BR,2022-03-01,1023.0,2694.8042058619963,-0.6203805835783274,0.005889334430323799,-0.0036536287307722144,2022
AR,US,BR,2022-04-01,1253.0,2583.5671992663147,-0.5150116473239679,0.0058433832287320625,-0.003009410422574546,2022
AR,US,BR,2022-05-01,1304.0,3029.1828928362293,-0.569520875387269,0.005759821613120515,-0.003280338647178908,2022
AR,US,BR,2022-06-01,1055.0,2328.8579273628266,-0.5469882522225517,0.005619333283845341,-0.0030737092915865748,2022
AR,US,BR,2022-07-01,1212.0,2266.7391365242397,-0.4653112127148208,0.005500182275901905,-0.0025592964849524783,2022
AR,US,BR,2022-08-01,1321.0,2354.8629782970434,-0.4390331785014081,0.005409969539285054,-0.0023751561224281156,2022
AR,US,BR,2022-09-01,1161.0,2515.685994330218,-0.5384956617731191,0.0053090325372866344,-0.002858890989541188,2022
AR,US,BR,2022-10-01,1598.0,3361.286693548601,-0.5245868187717876,0.005136437595860984,-0.0026945074582325223,2022
AR,US,BR,2022-11-01,1202.0,2495.5907096645833,-0.5183505070182148,0.004902255243660003,-0.002541086491083865,2022
AR,US,BR,2022-12-01,2060.0,2996.340522331,-0.3124946965649201,0.004781339149720792,-0.0014941431267659721,2022
AR,US,CL,2019-01-01,351.0,284.7522159869986,0.23265063551261778,0.005397601213301279,0.0012557553525182194,2019
AR,US,CL,2019-02-01,404.0,377.13649500976385,0.07123019210734477,0.005568715970680525,0.0003966607083828127,2019
AR,US,CL,2019-03-01,458.0,431.08237134717143,0.06244196107743526,0.005290213105754354,0.0003303312808408513,2019
AR,US,CL,2019-04-01,290.0,288.06805161429577,0.0067065694195446,0.0052774122387913005,3.5393331535008144e-05,2019
AR,US,CL,2019-05-01,282.0,277.19553087032267,0.017332419157670156,0.005098372512786173,8.8367129413554e-05,2019
AR,US,CL,2019-06-01,442.0,281.45258279909825,0.5704243876685297,0.005025500080581295,0.0028666678061937314,2019
AR,US,CL,2019-07-01,506.0,336.46640160998146,0.5038648660870906,0.004960492785515161,0.0024994180330995754,2019
AR,US,CL,2019-08-01,396.0,324.74788119092494,0.21940749404669616,0.005025220194853247,0.001102570969985601,2019
AR,US,CL,2019-09-01,352.0,344.0529233429944,0.023098413406250785,0.005027974972101875,0.00011613824450189137,2019
AR,US,CL,2019-10-01,266.0,374.2760414577303,-0.2892946100317209,0.0050733992533201775,-0.0014677070585244847,2019
AR,US,CL,2019-11-01,235.0,316.78547730185926,-0.2581730639878018,0.005099875106060913,-0.0013166503820868617,2019
AR,US,CL,2019-12-01,409.0,360.4352091100375,0.13473930865376738,0.0053203017829644384,0.0007168537840660344,2019
AR,US,CL,2020-01-01,336.0,340.45206694262765,-0.013076927341369048,0.0054338135771120205,-7.105758533443853e-05,2020
AR,US,CL,2020-02-01,382.0,530.9836158613055,-0.28058043866314025,0.005558309882758765,-0.0015595530251301221,2020
AR,US,CL,2020-03-01,405.0,463.44763401267585,-0.12611486114756437,0.005698317998049168,-0.0007186425830986379,2020
AR,US,CL,2020-04-01,225.0,149.6514790243477,0.5034933264067065,0.005732653642925478,0.0028863528518140733,2020
AR,US,CL,2020-05-01,192.0,119.83490901278812,0.6022042456719421,0.005830383346948655,0.003511081605427468,2020
AR,US,CL,2020-06-01,195.0,100.58112943511689,0.9387334492579053,0.005904152548562222,0.005542425486856666,2020
AR,US,CL,2020-07-01,201.0,95.9177580500783,1.0955452263079235,0.006030497516045074,0.006606682765964971,2020
AR,US,CL,2020-08-01,169.0,130.88178004857608,0.29124160702335,0.006023253147559503,0.0017542219262036806,2020
AR,US,CL,2020-09-01,260.0,227.59969632223329,0.14235653298893114,0.005914987081828439,0.0008420370536434117,2020
AR,US,CL,2020-10-01,249.0,329.2956406992439,-0.24384058206400747,0.00575741685581196,-0.0014038918773063161,2020
AR,US,CL,2020-11-01,226.0,272.39238876820315,-0.17031455606375817,0.005728362175544395,-0.0009756234609002676,2020
AR,US,CL,2020-12-01,283.0,291.28089852944333,-0.02842925358734528,0.0054879384794028286,-0.00015601799470269306,2020
AR,US,CL,2021-01-01,272.0,265.3041552227892,0.02523837130099974,0.005474240611555521,0.00013816091714545013,2021
AR,US,CL,2021-02-01,298.0,338.01347975539124,-0.11837835516011855,0.005525635331400625,-0.0006541156217458426,2021
AR,US,CL,2021-03-01,372.0,388.59844929374,-0.04271362720028066,0.005894863377872301,-0.00025179099671902464,2021
AR,US,CL,2021-04-01,204.0,196.1326746273496,0.0401122627201116,0.006001702295240243,0.0002407418592345734,2021
AR,US,CL,2021-05-01,184.0,236.28569015966448,-0.2212816617220182,0.00608061366183668,-0.0013455282953808267,2021
AR,US,CL,2021-06-01,226.0,208.58748613919946,0.08347822864685382,0.006186463762443952,0.0005164350364767718,2021
AR,US,CL,2021-07-01,227.0,243.96559248110046,-0.06954092299886407,0.006201866557904081,-0.0004312835247524378,2021
