"tl2_id","tl1_id","iso3","name_or","name_en","name_fr","continenta","reg_name_p","EU","EEA","mapineq"
"DE5","DEU26","DEU","Bremen","Bremen","Brême","f","Bremen",TRUE,TRUE,TRUE
"DE6","DEU26","DEU","Hamburg","Hamburg","Hambourg","f","Hamburg",TRUE,TRUE,TRUE
"DE7","DEU26","DEU","Hessen","Hesse","Hesse","f","Hesse",TRUE,TRUE,TRUE
"DE8","DEU26","DEU","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern","Mecklembourg-Poméranie-Occidentale","f","Mecklenburg-Vorpommern",TRUE,TRUE,TRUE
"DE9","DEU26","DEU","Niedersachsen","Lower Saxony","Basse-Saxe","f","Lower Saxony",TRUE,TRUE,TRUE
"DEA","DEU26","DEU","Nordrhein-Westfalen","North Rhine-Westphalia","Rhénanie du Nord-Westphalie","f","N. Rhine-Westphalia",TRUE,TRUE,TRUE
"DEB","DEU26","DEU","Rheinland-Pfalz","Rhineland-Palatinate","Rhénanie-Palatinat","f","Rhineland-Palatinate",TRUE,TRUE,TRUE
"DEC","DEU26","DEU","Saarland","Saarland","Sarre","f","Saarland",TRUE,TRUE,TRUE
"DED","DEU26","DEU","Sachsen","Saxony","Saxe","f","Saxony",TRUE,TRUE,TRUE
"DEE","DEU26","DEU","Sachsen-Anhalt","Saxony-Anhalt","Saxe-Anhalt","f","Saxony-Anhalt",TRUE,TRUE,TRUE
"DEF","DEU26","DEU","Schleswig-Holstein","Schleswig-Holstein","Schleswig-Holstein","f","Schleswig-Holstein",TRUE,TRUE,TRUE
"DEG","DEU26","DEU","Thüringen","Thuringia","Thuringe","f","Thuringia",TRUE,TRUE,TRUE
"DK01","DNK11","DNK","Hovedstaden","Capital City Region","Région-Capitale","f","Copenhagen Region",TRUE,TRUE,TRUE
"DK02","DNK11","DNK","Sjælland","Zealand","Zélande","f","Zealand",TRUE,TRUE,TRUE
"DK03","DNK11","DNK","Syddanmark","Southern Denmark","Danemark du Sud","f","South",TRUE,TRUE,TRUE
"DK04","DNK11","DNK","Midtjylland","Central Jutland","Jutland-Central","f","Central Jutland",TRUE,TRUE,TRUE
"DK05","DNK11","DNK","Nordjylland","Northern Jutland","Jutland du Nord","f","N. Jutland",TRUE,TRUE,TRUE
"EE00","EST7","EST","Estonia","Estonia","Estonie","f","Estonia",TRUE,TRUE,TRUE
"EL30","GRC60","GRC","Attiki","Attica","Attique","f","Attica",TRUE,TRUE,TRUE
"EL41","GRC60","GRC","North Aegean","North Aegean","Nord de l'Égée","f","N. Aegean",TRUE,TRUE,TRUE
"EL42","GRC60","GRC","South Aegean","South Aegean","Sud de l'Égée","f","S. Aegean",TRUE,TRUE,TRUE
"EL43","GRC60","GRC","Crete","Crete","Crète","f","Crete",TRUE,TRUE,TRUE
"EL51","GRC60","GRC","Eastern Macedonia and Thrace","Eastern Macedonia, Thrace","Macédoine orientale, Thrace","f","E. Macedonia, Thrace",TRUE,TRUE,TRUE
"EL52","GRC60","GRC","Central Macedonia","Central Macedonia","Macédoine centrale","f","Central Macedonia",TRUE,TRUE,TRUE
"EL53","GRC60","GRC","Western Macedonia","Western Macedonia","Macédoine occidentale","f","W. Macedonia",TRUE,TRUE,TRUE
"EL54","GRC60","GRC","Epirus","Epirus","Épire","f","Epirus",TRUE,TRUE,TRUE
"EL61","GRC60","GRC","Thessaly","Thessaly","Thessalie","f","Thessaly",TRUE,TRUE,TRUE
"EL62","GRC60","GRC","Ionian Islands","Ionian Islands","Îles ioniennes","f","Ionian I.",TRUE,TRUE,TRUE
"EL63","GRC60","GRC","Western Greece","Western Greece","Grèce occidentale","f","West",TRUE,TRUE,TRUE
"EL64","GRC60","GRC","Central Greece","Central Greece","Grèce centrale","f","Central Greece",TRUE,TRUE,TRUE
"EL65","GRC60","GRC","Peloponnese","Peloponnese","Péloponnèse","f","Peloponnese",TRUE,TRUE,TRUE
"ES11","ESP73","ESP","Galicia","Galicia","Galice","f","Galicia",TRUE,TRUE,TRUE
"ES12","ESP73","ESP","Asturias","Asturias","Asturies","f","Asturias",TRUE,TRUE,TRUE
"ES13","ESP73","ESP","Cantabria","Cantabria","Cantabria","f","Cantabria",TRUE,TRUE,TRUE
"ES21","ESP73","ESP","País Vasco","Basque Country","Pays Basque","f","Basque Country",TRUE,TRUE,TRUE
"ES22","ESP73","ESP","Navarra","Navarra","Navarra","f","Navarra",TRUE,TRUE,TRUE
"ES23","ESP73","ESP","La Rioja (ES)","La Rioja","La Rioja","f","La Rioja",TRUE,TRUE,TRUE
"ES24","ESP73","ESP","Aragón","Aragon","Aragon","f","Aragon",TRUE,TRUE,TRUE
"ES30","ESP73","ESP","Comunidad de Madrid","Madrid","Madrid","f","Madrid",TRUE,TRUE,TRUE
"ES41","ESP73","ESP","Castilla y León","Castile and León","Castille-et-León","f","Castile and León",TRUE,TRUE,TRUE
"ES42","ESP73","ESP","Castilla-La Mancha","Castile-La Mancha","Castille-La Mancha","f","Castile-La Mancha",TRUE,TRUE,TRUE
"ES43","ESP73","ESP","Extremadura","Extremadura","Extremadura","f","Extremadura",TRUE,TRUE,TRUE
"ES51","ESP73","ESP","Cataluña","Catalonia","Catalogne","f","Catalonia",TRUE,TRUE,TRUE
"ES52","ESP73","ESP","Comunidad Valenciana","Valencia","Valence","f","Valencia",TRUE,TRUE,TRUE
