id,geo,obsvalue,indicator,freq,obstime,unit,geo_source
295,MT00,192.0,non-built-up,,2018,km2,NUTS2016
296,NO02,52375.4,non-built-up,,2018,km2,NUTS2016
297,NO03,36102.36,non-built-up,,2018,km2,NUTS2016
298,NO04,25450.440000000002,non-built-up,,2018,km2,NUTS2016
299,NO05,48767.16,non-built-up,,2018,km2,NUTS2016
300,NO06,41012.08,non-built-up,,2018,km2,NUTS2016
301,NO07,112588.72,non-built-up,,2018,km2,NUTS2016
302,ITI1,21347.88,non-built-up,,2018,km2,NUTS2016
303,ITI2,7916.2,non-built-up,,2018,km2,NUTS2016
304,NL11,2141.36,non-built-up,,2018,km2,NUTS2016
305,NL12,3658.8,non-built-up,,2018,km2,NUTS2016
306,NL13,2411.0,non-built-up,,2018,km2,NUTS2016
307,ITI3,8604.72,non-built-up,,2018,km2,NUTS2016
308,LI00,140.8,non-built-up,,2018,km2,NUTS2016
309,LT01,9280.960000000001,non-built-up,,2018,km2,NUTS2016
310,NL21,2932.96,non-built-up,,2018,km2,NUTS2016
311,NL22,4281.96,non-built-up,,2018,km2,NUTS2016
312,ITI4,15167.44,non-built-up,,2018,km2,NUTS2016
313,NL23,2259.0,non-built-up,,2018,km2,NUTS2016
314,NL31,1110.72,non-built-up,,2018,km2,NUTS2016
315,NL32,2696.7200000000003,non-built-up,,2018,km2,NUTS2016
316,NL33,2307.2400000000002,non-built-up,,2018,km2,NUTS2016
317,NL34,1709.08,non-built-up,,2018,km2,NUTS2016
318,NL41,4038.2000000000003,non-built-up,,2018,km2,NUTS2016
319,NL42,1715.4,non-built-up,,2018,km2,NUTS2016
320,LT02,53379.6,non-built-up,,2018,km2,NUTS2016
321,NO01,5063.4400000000005,non-built-up,,2018,km2,NUTS2016
322,ITH4,7016.400000000001,non-built-up,,2018,km2,NUTS2016
323,LU00,2369.08,non-built-up,,2018,km2,NUTS2016
324,LV00,63337.32,non-built-up,,2018,km2,NUTS2016
325,ITH5,20297.36,non-built-up,,2018,km2,NUTS2016
326,PL92,27653.56,non-built-up,,2018,km2,NUTS2016
327,RO12,33073.72,non-built-up,,2018,km2,NUTS2016
328,RS12,20523.64,non-built-up,,2018,km2,NUTS2016
329,FRD1,16346.56,non-built-up,,2018,km2,NUTS2016
330,PT11,19387.68,non-built-up,,2018,km2,NUTS2016
331,SE21,35463.24,non-built-up,,2018,km2,NUTS2016
332,SI04,7434.16,non-built-up,,2018,km2,NUTS2016
333,PL22,10572.04,non-built-up,,2018,km2,NUTS2016
334,PT16,26157.28,non-built-up,,2018,km2,NUTS2016
335,RO21,35023.04,non-built-up,,2018,km2,NUTS2016
336,PL51,18736.920000000002,non-built-up,,2018,km2,NUTS2016
337,PL52,8884.76,non-built-up,,2018,km2,NUTS2016
338,PL61,16859.0,non-built-up,,2018,km2,NUTS2016
339,RO22,34468.04,non-built-up,,2018,km2,NUTS2016
340,RO11,32829.68,non-built-up,,2018,km2,NUTS2016
341,PL41,27815.4,non-built-up,,2018,km2,NUTS2016
342,PL62,23251.16,non-built-up,,2018,km2,NUTS2016
343,PT15,4638.32,non-built-up,,2018,km2,NUTS2016
344,RO31,32806.56,non-built-up,,2018,km2,NUTS2016
345,PL42,21746.56,non-built-up,,2018,km2,NUTS2016
346,PL63,17211.44,non-built-up,,2018,km2,NUTS2016
347,RS22,25421.72,non-built-up,,2018,km2,NUTS2016
348,SE11,6531.12,non-built-up,,2018,km2,NUTS2016
349,SE12,42520.840000000004,non-built-up,,2018,km2,NUTS2016
350,PT17,2214.68,non-built-up,,2018,km2,NUTS2016
351,PL43,13478.92,non-built-up,,2018,km2,NUTS2016
352,PL71,16730.24,non-built-up,,2018,km2,NUTS2016
353,PT18,30861.2,non-built-up,,2018,km2,NUTS2016
354,PL21,13378.6,non-built-up,,2018,km2,NUTS2016
355,PL72,10839.28,non-built-up,,2018,km2,NUTS2016
356,PT20,2212.36,non-built-up,,2018,km2,NUTS2016
357,PT30,23.8,non-built-up,,2018,km2,NUTS2016
358,PL81,23580.4,non-built-up,,2018,km2,NUTS2016
359,PL82,16485.16,non-built-up,,2018,km2,NUTS2016
360,RO32,1400.8,non-built-up,,2018,km2,NUTS2016
361,RS11,2808.12,non-built-up,,2018,km2,NUTS2016
362,RS21,25289.56,non-built-up,,2018,km2,NUTS2016
363,PL84,19371.88,non-built-up,,2018,km2,NUTS2016
364,PL91,5035.12,non-built-up,,2018,km2,NUTS2016
365,RO41,28014.600000000002,non-built-up,,2018,km2,NUTS2016
366,RO42,31142.2,non-built-up,,2018,km2,NUTS2016
367,FRI1,38889.8,non-built-up,,2018,km2,NUTS2016
368,FRY1,,non-built-up,,2018,km2,NUTS2016
369,FRY2,,non-built-up,,2018,km2,NUTS2016
370,FRC1,30293.04,non-built-up,,2018,km2,NUTS2016
371,FRJ2,43025.76,non-built-up,,2018,km2,NUTS2016
372,HU31,12777.56,non-built-up,,2018,km2,NUTS2016
373,ITF1,10127.76,non-built-up,,2018,km2,NUTS2016
374,ITF2,4240.4400000000005,non-built-up,,2018,km2,NUTS2016
375,FRC2,15446.800000000001,non-built-up,,2018,km2,NUTS2016
376,FRY3,,non-built-up,,2018,km2,NUTS2016
377,FRK1,24920.96,non-built-up,,2018,km2,NUTS2016
378,ITC1,23362.52,non-built-up,,2018,km2,NUTS2016
379,ITC2,3186.0,non-built-up,,2018,km2,NUTS2016
380,ITC4,20510.48,non-built-up,,2018,km2,NUTS2016
381,ITF3,11783.56,non-built-up,,2018,km2,NUTS2016
382,FRF3,22275.08,non-built-up,,2018,km2,NUTS2016
383,HU23,13637.76,non-built-up,,2018,km2,NUTS2016
384,HU12,5699.32,non-built-up,,2018,km2,NUTS2016
385,IE06,13503.0,non-built-up,,2018,km2,NUTS2016
386,IS00,102540.6,non-built-up,,2018,km2,NUTS2016
387,FRL0,29104.24,non-built-up,,2018,km2,NUTS2016
388,FRH0,24557.28,non-built-up,,2018,km2,NUTS2016
389,HU32,16831.4,non-built-up,,2018,km2,NUTS2016
390,HU33,17397.84,non-built-up,,2018,km2,NUTS2016
391,IE04,24846.52,non-built-up,,2018,km2,NUTS2016
392,IE05,28365.920000000002,non-built-up,,2018,km2,NUTS2016
393,ITF4,17416.6,non-built-up,,2018,km2,NUTS2016
394,HU21,10446.880000000001,non-built-up,,2018,km2,NUTS2016
395,FRE2,18286.44,non-built-up,,2018,km2,NUTS2016
396,ITF5,9632.24,non-built-up,,2018,km2,NUTS2016
397,ITF6,14207.64,non-built-up,,2018,km2,NUTS2016
398,FRF1,7467.4800000000005,non-built-up,,2018,km2,NUTS2016
399,HU22,10750.76,non-built-up,,2018,km2,NUTS2016
400,FRG0,29323.32,non-built-up,,2018,km2,NUTS2016
401,FRF2,24713.440000000002,non-built-up,,2018,km2,NUTS2016
402,ITC3,4931.92,non-built-up,,2018,km2,NUTS2016
403,FRK2,41313.88,non-built-up,,2018,km2,NUTS2016
404,FRM0,8467.52,non-built-up,,2018,km2,NUTS2016
405,FRE1,10659.56,non-built-up,,2018,km2,NUTS2016
406,AT314,2128.7200000000003,non-built-up,,2018,km2,NUTS2016
407,AT315,2354.2400000000002,non-built-up,,2018,km2,NUTS2016
408,UKM7,12726.64,non-built-up,,2018,km2,NUTS2016
409,DE600,401.48,non-built-up,,2018,km2,NUTS2016
410,DE711,88.92,non-built-up,,2018,km2,NUTS2016
411,DE712,130.8,non-built-up,,2018,km2,NUTS2016
412,DE713,26.52,non-built-up,,2018,km2,NUTS2016
413,DE714,146.92000000000002,non-built-up,,2018,km2,NUTS2016
414,DE715,623.16,non-built-up,,2018,km2,NUTS2016
415,BE353,861.84,non-built-up,,2018,km2,NUTS2016
416,BG311,2961.7200000000003,non-built-up,,2018,km2,NUTS2016
